declared_job_role;normalized_job_role;general_cluster;function
Project Manager;Project Manager;Operations;Project Management
Customer Service Representative;Customer Service Representative;Customer Service or Support;Customer Service
Visual Merchandising Team Lead;Visual Merchandising Manager;Creative and Design;Visual Merchandising
Financial Planning & Analysis FP&A;Financial Planner;Finance and Accounting;Financial Planning and Analysis
Senior Stock Controller;Stock Manager;Operations;Inventory Management
Showroom Seller Sales Assistant;Showroom Seller;Sales and Marketing;Sales
Restaurant Manager;Restaurant Manager;Hospitality and Tourism;Restaurant Management
Service Quality - Transaction Banking Wholesale Group (TBW Group);Service Quality Manager;Customer Service or Support;Customer Service
Logistic Office Worker;Logistics Manager;Operations;Supply Chain and Logistics
Corporate Financial Controller;Financial Controller;Finance and Accounting;Accounting
Senior Data Scientist;Data Scientist;Data and Analytics;Data Science
Zoology professor;Zoology Professor;Education and Training;Teaching
Associate Account Manager (Dilayani Tokopedia);Account Manager;Sales and Marketing;Customer Management
public affairs consultant;Public Affairs Consultant;Public Relations and Communications;Public Affairs
Student Intern - BKSAP (Badan Kerja Sama Antar Parlemen);Intern;Education and Training;Intern
Fashion Designer RTW;Fashion Designer;Creative and Design;Fashion Design
Store Director;Store Manager;Sales and Marketing;Store Management
Tissue Handling And Treatment;Tissue Treatment Specialist;Healthcare;Tissue Treatment
Senior Account Executive;Account Executive;Sales and Marketing;Executive Leadership
e commerce analyst;E-Commerce Analyst;Sales and Marketing;E-Commerce
People Operations Assistant Manager;People Operations Manager;Human Resources;Employee Relations
Senior Account Wholesale Kids;Account Manager;Sales and Marketing;Customer Management
CRM/CLM & Martech Lead;Customer Relations Manager;Customer Service or Support;Customer Management
screenwriter;Screenwriter;Arts and Entertainment;Writing
fashion model;Fashion Model;Arts and Entertainment;Modeling
Interpreter;Interpreter;Language Services;Interpretation
Key Account Manager - On Trade;Key Account Manager;Sales and Marketing;Customer Management
MadetoMeasure Ambassador;Brand Ambassador;Sales and Marketing;Marketing
Programmer Analyst;Software Analyst;Information Technology;Creation of Software
Accountant;Accountant;Finance and Accounting;Accounting
Customer Service Specialist;Customer Service Representative;Customer Service or Support;Customer Service
Dresser;Dresser;Arts and Entertainment;Theatrical Production
Ecommerce Product Styling;Product Photographer;Creative and Design;Photography
statistical assistant;Statistical Expert;Data and Analytics;Statistics
SIT Tester;Software Tester;Information Technology;Quality Assurance and Testing
Administration And Finance;Administrative Clerk;Administrative and Office;Administrative Support
Security Guard;Security Guard;Military and Security;Private Security
Digital Project Manager;Project Manager;Operations;Project Management
Visual Merchandising Coordinator;Visual Merchandising Manager;Creative and Design;Visual Merchandising
Demand Planner;Demand Planner;Operations;Inventory Management
Senior Sales Consultant;Sales Consultant;Sales and Marketing;Consulting
Shipping Agency Operation;Shipping Manager;Operations;Supply Chain and Logistics
Sales Office UK Area;Salesperson;Sales and Marketing;Sales
Supervisor Prime Segment Sales Acquisition;Sales Supervisor;Sales and Marketing;Sales
Mr. Social Media Specialist ;Social Media Specialist;Sales and Marketing;Digital Marketing
Crossdock Ass. Manager;Crossdock Manager;Operations;Supply Chain and Logistics
Assistant Buyer;Assistant Buyer;Operations;Procurement and Purchasing
Student Parking Enforcement Officer;Parking Enforcement Officer;Military and Security;Law Enforcement
Clothing And Packaging Department Worker;Logistic Worker;Operations;Supply Chain and Logistics
Image Office;Public Relations Assistant;Public Relations and Communications;Public Relations
Assistant Manager HR Development;Human Capital Development Manager;Human Resources;Training and Development
Head of Video Banking Services Unit;Head of Video Banking Services;Information Technology;Executive Leadership
Merchandising Manager;Merchandiser Manager;Sales and Marketing;Merchandising
Master Tailor Master Tailor;Tailor;Creative and Design;Fashion Design
Ecommerce Production Coordinator;Production Coordinator;Operations;Procurement and Purchasing
CoCEO And Executive Board Member;Chief Executive Officer;Executive and Management;Executive Leadership
Customer Service Team Lead;Customer Service Manager;Customer Service or Support;Customer Service
Womens Retail Buyer;Retail Buyer;Sales and Marketing;Purchasing and Sourcing
Commercial Clerk Japan Area;Commercial Clerk;Sales and Marketing;Administrative Support
Administration Employee;Administrative Clerk;Administrative and Office;Administrative Support
Sales Expert;Salesperson;Sales and Marketing;Sales
Travel Manager;Travel Manager;Event Planning and Coordination;Travel Organization
Teacher;Teacher;Education and Training;Teaching
Senior Data Scientist EMEA;Data Scientist;Data and Analytics;Data Science
Technician;Technician;Unknown;Unknown
Senior Visual Merchandiser;Visual Merchandiser;Creative and Design;Visual Merchandising
Last Mile Hub Lead;Last Mile Hub Manager;Operations;Supply Chain and Logistics
interior decorator;Interior Decorator;Creative and Design;Interior Design
decorative painter;Decorative Painter;Creative and Design;Painting
machinist;Machinist;Manufacturing;Machining
Regional Manager;Regional Manager;Executive and Management;Department or Division Management
child psychotherapist;Child Psychotherapist;Healthcare;Psychotherapy
Marketing;Marketing Manager;Sales and Marketing;Marketing
Training Expert;Instructor;Education and Training;Teaching
Customer Care SpecialistEcommerce;Customer Care Specialist;Customer Service or Support;Customer Success
Intern;Intern;Education and Training;Intern
Enterprise Management and Roaming support Sr.Engr;Roaming Support Engineer;Information Technology;Technical Support
Employed;Worker;Unknown;Unknown
Head of Data Analytics;Head of Data Analytics;Data and Analytics;Executive Leadership
Graphic Designer Image Office;Graphic Designer;Creative and Design;Graphic Design
Stability Study Analyst;Stability Analyst;Research and Development;Chemistry
Boutique Manager;Store Manager;Sales and Marketing;Store Management
endocrinologist;Endocrinologist;Healthcare;Endocrinology
Receptionist Showroom Brunello Cucinelli Milan;Receptionist;Public Relations and Communications;Public Relations
Specialist - People Resourcing;Recruitment Specialist;Human Resources;Talent Acquisition and Recruitment
Group Supply Chain Director;Supply Chain Director;Operations;Supply Chain and Logistics
Operations Incharge;Operations Manager;Operations;Operations Management
Back Office For Press Office;Public Relations Assistant;Public Relations and Communications;Public Relations
Head of Systems Integration and Testing;Head of Systems Integration and Testing;Information Technology;Executive Leadership
Associate Account Director;Account Director;Sales and Marketing;Customer Management
content marketing manager;Content Marketing Manager;Sales and Marketing;Marketing
Feshion designer and stylist;Fashion Designer;Creative and Design;Fashion Design
CRM Coordinator For Europe;Customer Relations Manager;Customer Service or Support;Customer Management
marriage and family therapist;Family Psychologist;Healthcare;Family Therapy
Public Relations Intern;Public Relations Assistant;Public Relations and Communications;Public Relations
JÃ¤germeister senior brand ambassador Bali & Java;Brand Ambassador;Sales and Marketing;Marketing
Showroom Sales Executive Womenswear And Menswear;Showroom Supervisor;Sales and Marketing;Sales
