skill_raw;observations;skill_normalized;possible_domains;possible_fields;type_of_skill;too_generic
Pipeline Operations;a pipeline could be both a real hydraulic pipeline and an informational one;Pipeline Operations;Hydraulic Engineering, Information Technology;Engineering, Information Technology;Hard;0
Data Room;most data rooms nowadays are just pieces of software, physical data rooms are extremely rare;Data Room;Data Management;Information Technology;Hard;0
WordPress;WordPress is a web development tool;WordPress;Web Development;Information Technology;Hard;0
job advertisements; this skill has two parts, marketing and HR;Recruitment Advertising;Recruitment, Advertising;Human Resources, Marketing;Soft;0
2ε;difficult skill to normalize, since 2ε is a version of LaTeX we will normalize it in that way;LaTeX;Markup Language;Information Technology;Hard;0
employment practices;the knowledge of labor law;Labor Law Knowledge;Labor Law;Human Resources;Soft;0
ability to lead and supervise a team of technicians; the ability to lead a team;Team Leadership;Team Management;Human Resources;Soft;0
SOP’s;SOP is an acronym, that probability stands for Standard Operating Procedures;Standard Operating Procedures;Business Management;Business Management;Soft;0
A&H;A&H is an acronym that stands for Allen & Heath, a company that produces audio mixing equipment;Mixing consoles;Audio Equipment;Miusic;Hard;0
Hilfsassistentin - Institute of Marketing and Business Management;Hilfsassistentin is a German word that stands for assistant;Assistant;Business Management;Business Management;Soft;0
Vendite;Vendite is an Italian word that stands for sales;Sales;Sales;Sales;Soft;0
Stochastic Modelling;Stochastic Modelling is a statistical skill;Stochastic Modelling;Statistics;Mathematics;Hard;0
plant startup and shutdown;this probably refers to experience in the startup and shutdown of industrial plants;Plant Startup and Shutdown;Plant Operations;Operations Management;Hard;0
patent offices;this skill probably refers to the knowledge of patent law;Patent Law;Intellectual Property and Copyright Law;Legal;0
results driven;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
Technical Report Writing;the ability to write technical reports is a form of comunication;Technical Report Writing;Written Communication;Communication;Soft;0
Patent Law;Patent Law is a legal skill;Patent Law;Intellectual Property and Copyright Law;Legal;0
professional ethics;too generic;Professional Ethics;Mental Skills;Personal Skills;Soft;1
written communication;this skill is a form of communication;Written Communication;Written Communication;Communication;Soft;0
computer software;too generic, but is related to informatics;Computer Software;Computer Skills;Information Technology;Hard;1
goal orientation;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
ReSharper;ReSharper is a visual studio extesion for software development;ReSharper;Software Development;Information Technology;Hard;0
63 Licenses;the Series 63 is a securities exam and license;Series 63;Financial Securities;Financial Services;Hard;0
lift 50 lbs. on a daily continuous basis;a physical skill;Physical Strenght;Physical Skills;Personal Skills;Hard;0
production supervisor;this is the ability to supervise a production line;Production Supervision;Production Management;Operations Management;Soft;0
asset protection;the ability to protect financial assets;Asset Protection;Financial Security;Financial Services;Soft;0
customer-first mindset;Prioritizazion
product performance;Performance Analysis
Rail Engineering;Civil Engineering
networks;Network Administration
production costs;Cost Analysis
senior stakeholder engagement;Economics
Assembly Language;Microcontrollers
internship experience;Experienced
transformers;Electrical Wiring
luxury/retail business knowledge;Luxury Management
Brand Management;Brand Marketing
2D Drawing;Graphic Design
Talent Management;People Management
Payments;Accounting
market offers;Business Management
Zeplin;Zeplin
physics;Physics
Sipa;Legal Counseling
Solidity;Computer Programming
7 QC Tools;Process Management
loss prevention compliance;Cost Analysis
floating structures;Structural Engineering
energy commodities;Energy Management
Cloud Platform Engineering;Cloud-Computing
Product Innovation;Product Development
steel work;Construction
event display;Event Planning
proficiency in technical resources;Operations Management
planning software (such as PROJECT or PRIMAVERA);Software Development
RTW;Clothing Industry Process
Demand Forecasting;Demand Forecasting
excellent communication and interpersonal skills;Communication
cost analysis;Cost Analysis
peak loads,;Electrical Wiring
Dashboard;Dashboard Design
Brand Architecture;Brand Marketing
Press Office;Publishing
Private 5G;Telecommunications
digital CRM;Customer Relationship Management
Project Planning;Project Management
Simulink;Simulink
vendor communication;Communication
business travel;Traveling
social dialogue;Negotiation
experience with luxury and licensed brands;Luxury Management
Media Buying;Marketing
erp systems;ERP
Gucci standards;Luxury Management
committed;Good Attitude
Sales Promoter;Sales
internal control;Quality Control
Trucking;Rigid Vehicles
Data Design;Data Management
Concrete;Construction
net financial position;Accounting
air brakes endorsement;Auditing
software applications;Software Development
client-centric approach;Business Strategy
Global Operations;Operations Management
learning agendas;Machine Learning
early mornings;Flexibility
analytical mindset;Analytical Skills
ISO27001;Cybersecurity
capex control;Accounting
Foreclosure;Legal Counseling
Retail Buying;Retail
JavaBeans;Java
Cloud Architecture;Software Development
Remodeling;Business Planning
Technological Partners;OT
Protocols;Security Protocols
and PowerPoint;Microsoft PowerPoint
Object Oriented Design;Computer Programming
ACATS;Customer Support
accounting degree;Accounting
IT skills;IT Operations & Management
Good Manufacturing Practices (GMP);Manufacturing
interdisciplinary team;Teamwork
ADP Payforce;People Management
woodwork;Manufacturing
renders;Graphic Design
four big accounting firms;Accounting
Report Design;Reporting
Python Software Foundation;Python
Line Technician;Communication
Combinatorial Chemistry;Computational Chemistry
Microsoft Dynamics GP;Microsoft Dynamics
Manufacturing;Manufacturing
Oracle SQL;SQL
TPM;Product Management
economics or similar;Economics
Network Simulation;Network Administration
general management;Management
associates degree;Well Educated
HR leadership;HR Analytics
Digital Merchandising;Digital Merchandising
traffic control;Traffic Directing
post-job review;People Management
profit and loss analysis;Accounting
marketing analysis;Marketing
product positioning;Product Management
staff scheduling;Time Management
Smart Metering;Energy Management
Windows Server Update Services;Windows Server
Radio Frequency Identification;Telecommunications
data-driven culture;Data Analytics
Traceability Systems;Traceability Systems
Strategic Planning;Operations Management
strategic thinking;Problem Solving
Cosmetics;Makeup Artistry and Application
Energy Systems Engineering;Energy Management
Headhunter;Talent Acquisition and Recruitment
business workshops;Business Planning
Environmental Procedures;Sustainability
retail operation guideline compliance;Retail
Discussion and Evaluation;Business Analysis
power flow;Power Engineering
category analysis;Product Management
MISO);Energy Management
credit memos;Accounting
business expertise;Entrepreneurship
power plant analysis;Energy Management
(ISC)2;Cybersecurity
Energy Report;Energy Management
market monitoring;Market Research
waste handling;Waste Management
Cisco;Cisco Systems
Customer Advocacy;Customer Support
Military Aviation;Military Occupational Specialties
search visibility;Advertising
SMS code;Security Protocols
luxury retail experience;Luxury Management
ML architectures;Machine Learning
Technical Correspondence;Communication
impact;Public Relations
Network Administration;Network Administration
retirement plans;People Management
E-Commerce SEO;E-Commerce Management
market share;Market Share
International Client Development;Customer Relationship Management
File Management;Data Management
sheet metal forming and stamping;Manufacturing
market-derived buying opportunities identification;Market Research
Primefaces;Java
sales fundamentals;Sales
IT Administration;IT Operations & Management
Architectural Design;Architecture
LaTeX;LaTeX
Distributed Team Management;Team Management
stakeholder engagement;Economics
retail promotions;Retail
sales budget;Budgeting
Statistical Learning;Statistics
supplier pricing validation;Marketing Management
Invisible Machines;Industrial Engineering
Business Information Systems;Business Management
cost modeling;Cost Analysis
raw material management;Goods Procurement
luxury fashion expertise;Apparel and Fashion Design
PLC program;PLC
sales oriented;Sales
Corporate Secretariat;Corporate Governance
AJAX;REST APIs
Glassfish;Biology
AMPL;AMPL
critical thinking;Critical Thinking
Microsoft Office (Excel;Microsoft Excel
bid evaluation;Bidding
ba;Well Educated
Personnel Selection;Talent Acquisition and Recruitment
output-oriented;Productivity
cost efficiencies;Budgeting
training sessions;Training
EDR;Cybersecurity
Offshore Oil and Gas;Oil and Gas Management
nielsen;Nielsen Media
Customer Awareness;Marketing
technical complexity;Operations Management
Adhesive Tape;Product Management
Italian proficiency;Italian
pricing indices;Accounting
electricity meter data analysis;Data Analysis
overhaul;Industrial Engineering
Product Strategy;Product Management
Document Management;Process Management
Technological Support;Customer Support
Mandarin speaking;Chinese
brand visibility;Brand Marketing
Big 4;Accounting
governance framework;Corporate Governance
job role catalog maintenance;Product Management
Transportation Control;Operations Management
batch processing;Warehouse Management
digital design;Graphic Design
Microsoft IT;IT Operations & Management
distribution sector;Energy Management
strong familiarity with the software development lifecycle;Software Development
technical;Operations Management
Reporting to;Reporting
DNS Management;IT Operations & Management
account growth;Business Development
Link Building;Link Building
feasibility reports;Reporting
AutoCAD Plant 3D;AutoCAD
24 months;Flexibility
electrical maintenance;Electrical Wiring
follow-up skills;Interpersonal Skills
inspection;Auditing
Visual Studio;Microsoft Visual Studio
Newsletter Design;Graphic Design
Redux;Data Management
Frontend Development;Frontend Development
Perth office;International Relations
